cycle_id,capacity_ah
4,1.8046847720100736
6,1.804783321452588
8,1.797618668222458
10,1.7929913687761174
12,1.7919180081592216
16,1.775026135903797
20,1.7920487852223417
23,1.790475801581265
25,1.7868365091987264
27,1.7871529619962183
31,1.7816340617009505
35,1.7850235136604733
37,1.7803865429693038
39,1.7789060856417256
41,1.7738387518973049
43,1.769682881523146
47,1.7408787283206992
51,1.7648189744011906
53,1.7617857390844025
55,1.75770610357021
57,1.7519375960601256
59,1.7521244035832175
66,1.759771413398964
68,1.7483011320324189
70,1.7411482627836237
72,1.7363833316311177
74,1.736559066269527
78,1.7172335652295243
