cycle_id,capacity_ah
4,1.8132504303869896
6,1.8149760087078304
8,1.8135354175561995
10,1.815149273310334
12,1.81429130140682
16,1.3863373424430123
20,1.8165277958816064
23,1.8085638576011065
25,1.804936077644182
27,1.8049315924982108
31,1.717679232699393
35,1.809804813280106
37,1.806556213274488
39,1.7938155707698509
41,1.799304949381792
43,1.7842197448470132
47,1.6818819918515189
51,1.8007519383961936
53,1.795972684272296
55,1.7931026940553298
57,1.8010267542068712
59,1.7824572301269948
66,1.7959303030608789
68,1.7783142127341005
70,1.771719092984802
72,1.7790749489536772
74,1.7733229782464677
78,1.768754111010884
