cycle_id,capacity_ah
2,1.6666751942525773
4,1.8328583629543171
6,1.8139835002945135
8,1.8044387333514835
10,1.802147684291295
14,1.7715647509798835
16,1.8139928165779544
18,1.8013261041198854
20,1.7883722583933568
22,1.776540165737316
26,1.7856209131823229
28,1.781363403668594
30,1.768489838397124
32,1.766505238291406
34,1.751740527921767
38,1.7352349314055016
40,1.7782778274549178
42,1.7649894859707391
44,1.762591283533551
46,1.744314576121582
50,1.7628373753518478
52,1.747857930947971
54,1.7441167338864991
56,1.7268422932817389
58,1.7203093493042263
62,1.7394245516699778
64,1.7367384416372014
66,1.716963468448543
68,1.7127773558366357
70,1.7061083466554066
74,1.713732696207521
76,1.7093475797926974
78,1.690100045411559
80,1.6946883343387664
82,1.687010991299212
86,1.6957069027070075
88,1.687696889615565
90,1.6819617127259294
92,1.6750033888978846
94,1.6672987794846676
