Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge,Time,Capacity,id_cycle,type,ambient_temperature,time,Battery
3.9774320556541967,-2.005671955333404,23.844944489280135,1.9988,3.029,19.578000000000007,1.8550045207910817,1,discharge,24,2008.0,B0018
3.961974217766504,-2.012205794994686,23.925577330032247,1.9988,3.026,29.016,1.8550045207910817,1,discharge,24,2008.0,B0018
3.9498352354576047,-2.0120046406721395,24.010627934505163,1.9988,3.015,38.485,1.8550045207910817,1,discharge,24,2008.0,B0018
3.9395500648792834,-2.007285098333412,24.1031919642026,1.9988,3.005,47.90600000000001,1.8550045207910817,1,discharge,24,2008.0,B0018
3.930453666897322,-2.009340457838071,24.19162073012334,1.9988,2.997,57.328,1.8550045207910817,1,discharge,24,2008.0,B0018
3.922180352977149,-2.010267259036747,24.294343526900445,1.999,2.987,66.75,1.8550045207910817,1,discharge,24,2008.0,B0018
3.9146488997480295,-2.010024054971675,24.38261558043644,1.9988,2.979,76.156,1.8550045207910817,1,discharge,24,2008.0,B0018
3.907584709153282,-2.00867077329473,24.47631464298037,1.9988,2.974,85.594,1.8550045207910817,1,discharge,24,2008.0,B0018
3.9012678028841297,-2.0106237185854403,24.57457823698312,1.999,2.965,95.031,1.8550045207910817,1,discharge,24,2008.0,B0018
3.895214648478672,-2.009617297008268,24.667372229961423,1.9988,2.96,104.391,1.8550045207910817,1,discharge,24,2008.0,B0018
3.889690143270334,-2.007814321761306,24.76058265033414,1.9988,2.9560000000000004,113.766,1.8550045207910817,1,discharge,24,2008.0,B0018
3.884241777958719,-2.0115404243618857,24.85949785712736,1.9988,2.9530000000000003,123.125,1.8550045207910817,1,discharge,24,2008.0,B0018
3.879127142662224,-2.0080961448121464,24.96219947956856,1.9988,2.949,132.531,1.8550045207910817,1,discharge,24,2008.0,B0018
3.8745327998645465,-2.011376288742226,25.0478665044854,1.9988,2.945,141.938,1.8550045207910817,1,discharge,24,2008.0,B0018
3.8699655760936302,-2.009756653284586,25.150631162240234,1.999,2.943,151.328,1.8550045207910817,1,discharge,24,2008.0,B0018
3.8655861813583656,-2.0122948135352487,25.24596025060208,1.9988,2.939,160.735,1.8550045207910817,1,discharge,24,2008.0,B0018
3.8613232967475,-2.0075491483847063,25.334606396233955,1.999,2.937,170.125,1.8550045207910817,1,discharge,24,2008.0,B0018
3.857541912231681,-2.0080594694901186,25.41616897550333,1.9988,2.9330000000000003,179.53099999999995,1.8550045207910817,1,discharge,24,2008.0,B0018
3.8533730285947967,-2.0098111686638664,25.5181196398574,1.9988,2.93,188.938,1.8550045207910817,1,discharge,24,2008.0,B0018
